ID de Transmisión,Entidad,Nombre Transmisión,Propósito Transmisión,Tipo de Transmisión,Clasificación de Datos,Sistema de origen,Propietario Datos de Origen,Sistema de Destino,Propietario Datos de Destino,Formato de Datos,Protocolo de comunicaciòn,Frecuencia,Ventana de ejecuciòn,Volumen estimado,Dependencias,Riesgo de falla,Mecanismo de seguridad,Cifrado en trànsito,Cumplimiento Regulatorio,Aprobaciòn de Arquitectura,Propietario Tècnico,SLA,KPI de Calidad de Datos,Umbral de alerta,Documentaciòn
TJMDE002,TARJETAS,,,CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJD05,TARJETAS ,PLANIFICA NO EJECUTA ,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ100,TARJETAS,NO EJECUTA DEL 120324,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ101,TARJETAS,NO EJECUTA DEL 120324,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ102,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ103,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ104,TARJETAS ,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ105,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMIJ106,TARJETAS,NO CORRE MAS,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMONTR7,TARJETAS,VISA MONEDERO,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMPGCD3,TARJETAS,DUMMY,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJMPG003,TARJETAS,COBRANZAS AJUSTES MASTER,,CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJPROM20,TARJETAS,DADOS DE ALTA,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJRAXCVI,TARJETAS,TERMIANLES A VOSA,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJSGMD02,TARJETAS,PROM OCIONES SEGMENTADAS ,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJTRAMEI,TARJETAS ,EMORESAS VISA,,CONNET DIRECT ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJTRAMEX,TARKETAS,NOIVEDADES  TJ ADHESIONES,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOMMA,TARJETAS,DUMMY,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOMN6,TAREJTAS,REIMPRSION MASIVA DE TARJETAS,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOMT1,TARJETAS,DUMMY,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM01,TARJETAS,VISA MONEDERO,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM02,TARJETAS,DEUDA NO VENCIDA,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM03,TARJETAS,VISA  ,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM04,TARJETAS,TARJETAS PREPAGAS VISA,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM05,TARJETAS,PREGPAGAS VISA,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM06,TARJETAS,DUMMY ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM07,TARJETAS,TJ ADHESIONES,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM08,TARJETAS,VISA,,XCOM  ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM09,TARJETAS,MASTER ,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM10,TARJETAS,TARJETAS ADHESIONES,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCOM11,TARJETAS,CARTERA MASTERD ,,XCOM Y CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXCVI01,TARJETAS,AJUSTES MASTER,,CONNET DIRECT ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TJXC0014,TARJETAS,NO EJEUCTA MAS ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJDCD2,TARJETAS,DUMMY ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJDES1,TARJETAS ,NO EJECUTA  MAS ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJDES2,TARJETAS,TRASMISION DE PARA VISA,,CONNET DIRECT,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJDES3,TARJETAS,NO EJECUTA MAS ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJFDAT,TARJETAS,TRANSMITIDOS A FIRSDATA,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0003,TARJETAS,DUMMY,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0012,TARJETAS,MIGRACION MASTER PRISMA,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0014,TARJETAS,MIGRACION MASTER PRISMA,,XCOM,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0015,TARJETAS,VISA TRANSMI INTERFAZ,,XCOM Y CONNET DIRECT ,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0016,TARJETAS,DUMMY ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
TRTJ0017,TARJETAS,CUIT COMERCIO FIRSTDATA,,XCOM ,,BBVAS03,,,,,,,,,,,,,,,,,,,
XCOMRODI,TARJETAS,,,CONNET DIRECT ,,BBVAS03,,,,,,,,,,,,,,,,,,,
XCOMROD0,TARJETAS,DUMMY ,,,,BBVAS03,,,,,,,,,,,,,,,,,,,
